INGREDIENT,GRAMS_PER_CUP,GRAMS_PER_TBSP,GRAMS_PER_TSP
FRENCH-STYLE FLOUR,120,7.5,2.5
FRUITCAKE FRUIT BLEND,120,7.5,2.5
GARLIC (MINCED),224,14,4.67
GARLIC (PEELED AND SLICED),149,9.31,3.1
GHEE,176,11,3.67
GINGER (FRESH  SLICED),228,14.25,4.75
GLUTEN-FREE ALL-PURPOSE BAKING MIX,120,7.5,2.5
GLUTEN-FREE ALL-PURPOSE FLOUR,156,9.75,3.25
GLUTEN-FREE BREAD FLOUR,120,7.5,2.5
GLUTEN-FREE MEASURE FOR MEASURE FLOUR,120,7.5,2.5
GLUTEN-FREE PIZZA FLOUR,100,6.25,2.08
GLUTEN-FREE SOURDOUGH STARTER (MADE WITH GF BREAD FLOUR),177,11.06,3.69
GLUTEN-FREE SOURDOUGH STARTER (MADE WITH GF MEASURE FOR MEASURE),234,14.62,4.88
GLUTINOUS RICE FLOUR,120,7.5,2.5
GOLDEN WHEAT FLOUR,113,7.06,2.35
GRAHAM CRACKER CRUMBS,100,6.25,2.08
GRANOLA,113,7.06,2.35
GRAPE NUTS,114,7.12,2.38
GUAVA PASTE,400,25,8.33
HARVEST GRAINS BLEND,148,9.25,3.08
HAZELNUT FLOUR,89,5.56,1.85
HAZELNUT PRALINE PASTE,312,19.5,6.5
HAZELNUT SPREAD,320,20,6.67
HAZELNUTS (WHOLE),142,8.88,2.96
HI-MAIZE NATURAL FIBER,128,8,2.67
HIGH-GLUTEN FLOUR,120,7.5,2.5
HONEY,336,21,7
INSTANT CLEARJEL,176,11,3.67
IRISH-STYLE FLOUR,110,6.88,2.29
ITALIAN HERB SEASONING,112,7,2.33
ITALIAN-STYLE FLOUR,106,6.62,2.21
JAM OR PRESERVES,340,21.25,7.08
JAMMY BITS,184,11.5,3.83
KETO WHEAT FLOUR,120,7.5,2.5
KETO WHEAT PIZZA CRUST MIX,110,6.88,2.29
KEY LIME JUICE,227,14.19,4.73
LARD,226,14.12,4.71
LEEKS (DICED),92,5.75,1.92
LEMON CRUMBLES,180,11.25,3.75
LEMON CURD,226,14.12,4.71
LEMON JUICE,224,14,4.67
LEMON JUICE POWDER,144,9,3
LIME JUICE POWDER,144,9,3
MACADAMIA NUTS (WHOLE),149,9.31,3.1
MALT SYRUP,344,21.5,7.17
MALTED MILK POWDER,140,8.75,2.92
MALTED WHEAT FLAKES,128,8,2.67
MAPLE CINNAMON FRENCH TOAST SUGAR,192,12,4
MAPLE CREAM,336,21,7
MAPLE SUGAR,156,9.75,3.25
MAPLE SYRUP,312,19.5,6.5
MARSHMALLOW FLUFF,128,8,2.67
MARSHMALLOW SPREAD  HOMEMADE,72,4.5,1.5
MARSHMALLOW SPREAD  STORE-BOUGHT,123,7.69,2.56
MARSHMALLOWS (MINI),43,2.69,0.9
MARZIPAN,290,18.12,6.04
MASA HARINA,93,5.81,1.94
MASCARPONE CHEESE,227,14.19,4.73
MASHED POTATOES,213,13.31,4.44
MASHED SWEET POTATOES,240,15,5
MATCHA POWDER,96,6,2
MAYONNAISE,226,14.12,4.71
MEDIUM RYE FLOUR,106,6.62,2.21
MERINGUE POWDER,172,10.75,3.58
MILK (EVAPORATED),226,14.12,4.71
MILK (FRESH),227,14.19,4.73
MILLET (WHOLE),206,12.88,4.29
MINI CHOCOLATE CHIPS,177,11.06,3.69
MINI DICED GINGER,146,9.12,3.04
MOLASSES,340,21.25,7.08
MUSHROOMS (SLICED),78,4.88,1.62
NON-DIASTATIC MALT POWDER,144,9,3
NUTELLA,298,18.62,6.21
OAT BRAN,106,6.62,2.21
OAT FLOUR,92,5.75,1.92
ROLLED OATS,113,7.06,2.35
QUICK-COOKING OATS,89,5.56,1.85
OATMEAL,147,9.19,3.06
OLIVE OIL,200,12.5,4.17
OLIVES (SLICED),142,8.88,2.96
ONIONS (FRESH  DICED),142,8.88,2.96
PALEO BAKING FLOUR,104,6.5,2.17
PALM SHORTENING,180,11.25,3.75
PASSION FRUIT PUREE,180,11.25,3.75
PASTA FLOUR BLEND,145,9.06,3.02
PASTRY FLOUR,106,6.62,2.21
PASTRY FLOUR BLEND,113,7.06,2.35
PEACHES (PEELED AND DICED),170,10.62,3.54
PEANUT BUTTER,270,16.88,5.62
PEANUTS (WHOLE  SHELLED),142,8.88,2.96
PEARS (PEELED AND DICED),163,10.19,3.4
PECAN MEAL,80,5,1.67
PECANS (DICED),114,7.12,2.38
PECANS (WHOLE),105,6.56,2.19
PIE FILLING ENHANCER,184,11.5,3.83
PINE NUTS,142,8.88,2.96
PINEAPPLE (CRUSHED  DRAINED),256,16,5.33
PINEAPPLE (DRIED),142,8.88,2.96
PINEAPPLE (FRESH OR CANNED  DICED),170,10.62,3.54
PISTACHIO NUTS (SHELLED),120,7.5,2.5
PISTACHIO PASTE,312,19.5,6.5
PIZZA DOUGH FLAVOR,96,6,2
PIZZA FLOUR BLEND,124,7.75,2.58
PIZZA SAUCE,228,14.25,4.75
PIZZA SEASONING,80,5,1.67
POLENTA (COARSE GROUND CORNMEAL),163,10.19,3.4
POPPY SEEDS,144,9,3
POTATO FLOUR,184,11.5,3.83
POTATO STARCH,152,9.5,3.17
PUMPERNICKEL FLOUR,106,6.62,2.21
PUMPKIN PUREE,227,14.19,4.73
PUMPKIN SEEDS,160,10,3.33
QUESO FRESCO,114,7.12,2.38
QUINOA (COOKED),184,11.5,3.83
QUINOA (WHOLE),177,11.06,3.69
QUINOA FLOUR,110,6.88,2.29
RAISINS (LOOSE),149,9.31,3.1
RAISINS (PACKED),170,10.62,3.54
RASPBERRIES (FRESH),120,7.5,2.5
RHUBARB (SLICED),130,8.12,2.71
RICE (LONG GRAIN  DRY),198,12.38,4.12
RICE FLOUR (WHITE),142,8.88,2.96
RICE KRISPIES,28,1.75,0.58
RYE BREAD IMPROVER,112,7,2.33
RYE CHOPS,120,7.5,2.5
RYE FLAKES,124,7.75,2.58
RYE FLOUR BLEND,106,6.62,2.21
SALT (KOSHER  DIAMOND CRYSTAL),128,8,2.67
SALT (KOSHER  MORTON'S),256,16,5.33
SALT (TABLE),288,18,6
SCALLIONS (SLICED),64,4,1.33
SELF-RISING FLOUR,113,7.06,2.35
SEMOLINA FLOUR,163,10.19,3.4
SESAME SEEDS,142,8.88,2.96
SHALLOTS (PEELED AND SLICED),156,9.75,3.25
SIX-GRAIN BLEND,128,8,2.67
SNOW WHITE NON-MELTING TOPPING SUGAR,114,7.12,2.38
SORGHUM FLOUR,138,8.62,2.88
SOUR CREAM,227,14.19,4.73
SOURDOUGH STARTER,234,14.62,4.88
SOY FLOUR,140,8.75,2.92
SPARKLING SUGAR,228,14.25,4.75
SPELT FLOUR,99,6.19,2.06
SPROUTED WHEAT FLOUR,113,7.06,2.35
STEEL CUT OATS,140,8.75,2.92
STICKY BUN SUGAR,99,6.19,2.06
STRAWBERRIES (FRESH SLICED),167,10.44,3.48
SUGAR (GRANULATED WHITE),198,12.38,4.12
GRANULATED SUGAR,198,12.38,4.12
WHITE SUGAR,198,12.38,4.12
SUGAR,198,12.38,4.12
SUGAR SUBSTITUTE (SPLENDA),25,1.56,0.52
SUNDRIED TOMATOES (DRY PACK),170,10.62,3.54
SUNFLOWER SEEDS,140,8.75,2.92
SUPER 10 BLEND,106,6.62,2.21
SWEDISH PEARL SUGAR,196,12.25,4.08
SWEETENED CONDENSED COCONUT MILK,288,18,6
SWEETENED CONDENSED MILK,312,19.5,6.5
TAHINI PASTE,256,16,5.33
TAPIOCA (QUICK COOKING),168,10.5,3.5
TAPIOCA STARCH OR FLOUR,113,7.06,2.35
TEFF FLOUR,135,8.44,2.81
THE WORKS BREAD TOPPING,140,8.75,2.92
TOASTED ALMOND FLOUR,96,6,2
TOFFEE CHUNKS,156,9.75,3.25
TOMATO PASTE,232,14.5,4.83
TROPICAL FRUIT BLEND,135,8.44,2.81
TURBINADO SUGAR (RAW),180,11.25,3.75
UNBLEACHED CAKE FLOUR,120,7.5,2.5
VEGETABLE OIL,198,12.38,4.12
VEGETABLE SHORTENING,184,11.5,3.83
VITAL WHEAT GLUTEN,144,9,3
WALNUTS (CHOPPED),113,7.06,2.35
WALNUTS (WHOLE),128,8,2.67
WATER,227,14.19,4.73
WHEAT BERRIES (RED),184,11.5,3.83
WHEAT BRAN,64,4,1.33
WHEAT GERM,112,7,2.33
WHITE CHOCOLATE CHIPS,170,10.62,3.54
WHITE RYE FLOUR,106,6.62,2.21
WHOLE GRAIN FLOUR BLEND,113,7.06,2.35
WHOLE WHEAT FLOUR (PREMIUM 100%),113,7.06,2.35
WHOLE WHEAT PASTRY FLOUR / GRAHAM FLOUR,96,6,2
YEAST (INSTANT),144,9,3
YOGURT,227,14.19,4.73
YULETIDE CHEER FRUIT BLEND,130,8.12,2.71
ZUCCHINI (SHREDDED),135,8.44,2.81
WHITE VINEGAR,224,14,4.66
